City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,turpan,42.9333,89.1667,33.37,26,100,1.86,CN,1688843445
144,vila franca do campo,37.7167,-25.4333,20.23,60,47,1.69,PT,1688843445
145,nouadhibou,20.931,-17.0347,23.99,69,10,9.77,MR,1688843445
146,tokar,18.4254,37.729,33.24,48,100,4.31,SD,1688843446
147,tralee,52.2704,-9.7026,15.67,76,100,3.46,IE,1688843446
148,okhotsk,59.3833,143.3,12.61,95,82,1.25,RU,1688843446
149,churapcha,62.0025,132.4325,10.94,66,100,6.61,RU,1688843446
150,prince rupert,54.3161,-130.3201,16.64,80,79,1.46,CA,1688843405
151,whitehorse,60.7161,-135.0538,27.28,30,0,4.92,CA,1688843447
152,fale old settlement,-9.3852,-171.2468,28.34,75,92,8.09,TK,1688843447
153,selfoss,63.9331,-20.9971,20.58,72,100,1.81,IS,1688843447
154,mehran,33.1222,46.1646,35.97,17,0,5.81,IR,1688843448
155,malanje,-9.5402,16.341,20.02,31,76,1.58,AO,1688843448
156,skovorodino,53.9833,123.9167,15.98,76,99,1.83,RU,1688843448
157,valparaiso,-33.0393,-71.6273,17.13,77,40,2.57,CL,1688843441
158,hawaiian paradise park,19.5933,-154.9731,23.91,84,100,5.66,US,1688843448
159,ramkola,26.9042,83.8411,29.46,75,80,4.87,IN,1688843448
160,san andres,12.5847,-81.7006,32.01,70,40,5.66,CO,1688843449
161,eirunepe,-6.6603,-69.8736,31.1,63,44,0.71,BR,1688843449
162,gizo,-8.103,156.8419,26.89,85,28,7.35,SB,1688843449
163,klyuchi,52.2667,79.1667,18.25,74,17,1.75,RU,1688843449
164,rabaul,-4.1967,152.1721,25.72,84,100,3.03,PG,1688843450
165,annau,37.8876,58.516,33.01,15,0,3.38,TM,1688843450
166,papatowai,-46.5619,169.4708,6.47,90,100,2.97,NZ,1688843450
167,port mathurin,-19.6833,63.4167,23.6,63,9,10.46,MU,1688843450
168,murun-kuren,49.6342,100.1625,14.92,92,100,1.55,MN,1688843450
169,jamestown,42.097,-79.2353,26.96,46,75,0.0,US,1688843204
